images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/232127.jpg', 'path': 'full/4425a9123b05b61ab345331722dd0997085614a7.jpg', 'checksum': '76a68d5ae5622f70a4f510cf49d6e648'}]",Intel Core i3 4160,/productinfo/232127/intel-core-i3-4160,Hardware.info,"€ 113,85",http://content.hwigroup.net/images/products/micro_thumbs/232127.jpg,"Socket 1150, 3.6 GHz, 2 cores, 22 nm, 54 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/087169.jpg', 'path': 'full/19a78e05a9121b9407eb907e00449590d0c262e3.jpg', 'checksum': 'ced765a8eec929704eb58744d3f75f39'}]",Intel Core i3 530,/productinfo/87169/intel-core-i3-530,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/087169.jpg,"Socket 1156, 2.93 GHz, 2 cores, 32 nm, 73 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/161134.jpg', 'path': 'full/c93930299624743e16c3e7783530764f3ddffd26.jpg', 'checksum': 'd00852d0e75b5f3d64d8a71706b02cc1'}]",Intel Core i5 3350P,/productinfo/161134/intel-core-i5-3350p,Hardware.info,"€ 167,64",http://content.hwigroup.net/images/products/micro_thumbs/161134.jpg,"Socket 1155, 3.1 GHz, 4 cores, 22 nm, 69 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/148852.jpg', 'path': 'full/da50550a16472e87b1c3cff32baf5c6da99fdfe3.jpg', 'checksum': '7f5223b178b32463071444cabf2c5d67'}]",Intel Core i5 3450,/productinfo/148852/intel-core-i5-3450,Hardware.info,"€ 192,94",http://content.hwigroup.net/images/products/micro_thumbs/148852.jpg,"Socket 1155, 3.1 GHz, 4 cores, 22 nm, 77 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/212504.jpg', 'path': 'full/a133be9664e0d25fee733c1746e3ab9ba648e6a5.jpg', 'checksum': '5fc01ec3993d1db3cfa85e4814f8c71f'}]",Intel Pentium J2900,/productinfo/212504/intel-pentium-j2900,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/212504.jpg,"2.41 GHz, 4 cores, 22 nm, 10 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/187905.jpg', 'path': 'full/37bee1a3bb7711adc21ee4b615bcfeb7d63baae1.jpg', 'checksum': '8260b71e77c00f1f1d2fa3994a53bdc9'}]",Intel Core i5 4570S,/productinfo/187905/intel-core-i5-4570s,Hardware.info,"€ 191,27",http://content.hwigroup.net/images/products/micro_thumbs/187905.jpg,"Socket 1150, 2.9 GHz, 4 cores, 22 nm, 65 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186932.jpg', 'path': 'full/22f893e593f581ffbdb2591676a28b0b0b417f93.jpg', 'checksum': '1563793a7d1db471ae39ecff18416d8e'}]",AMD A10-6700,/productinfo/186932/amd-a10-6700,Hardware.info,"€ 132,66",http://content.hwigroup.net/images/products/micro_thumbs/186932.jpg,"Socket FM2, 3.7 GHz, 4 cores, 32 nm, 65 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/185982.jpg', 'path': 'full/3ca3780a596d5305451407bfa5cea2618757d74b.jpg', 'checksum': '9316e00c0748f05573e0f675ad171b78'}]",AMD A4-4000,/productinfo/185982/amd-a4-4000,Hardware.info,"€ 33,48",http://content.hwigroup.net/images/products/micro_thumbs/185982.jpg,"Socket FM2, 3.0 GHz, 2 cores, 32 nm, 65 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/212550.jpg', 'path': 'full/2ce4e661156d8810c51d9e4c54c438f8a72f726b.jpg', 'checksum': '9a3af55fae0b02ed8046f6cb6a761f4a'}]",AMD A4-4000 (tray),/productinfo/212550/amd-a4-4000-tray,Hardware.info,"€ 31,50",http://content.hwigroup.net/images/products/micro_thumbs/212550.jpg,"Socket FM2, 3 GHz, 2 cores, 32 nm, 65 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/153184.jpg', 'path': 'full/edce538bdc6ed374290f2c16bf1c57bc647aa457.jpg', 'checksum': 'ff0c6024849972d6a37b93bdff4d2420'}]",AMD A8-4500M,/productinfo/153184/amd-a8-4500m,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/153184.jpg,"Socket FS1, 1.9 GHz, 4 cores, 32 nm, 35 W, Geïntegreerde graphics"
