images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/208358.jpg', 'path': 'full/49c3777baa33e0974734c806e1de1da2ac241ea9.jpg', 'checksum': 'c47e3603caf0c41b6ceadc6c6de4b68b'}]",Crucial M500 120GB (M.2),/productinfo/208358/crucial-m500-120gb-m2,Hardware.info,"€ 67,59",http://content.hwigroup.net/images/products/micro_thumbs/208358.jpg,"SSD, 120 GB, 0 rpm, Marvell 88SS9187, 500 MB/s, 130 MB/s, M.2 2280"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/210554.jpg', 'path': 'full/9cd0daf6bb09a608959b136fbb3c5df24cd7955e.jpg', 'checksum': 'c88e4e25acdb533fbe66b01c5551841c'}]",Crucial M550 256GB (M.2),/productinfo/210554/crucial-m550-256gb-m2,Hardware.info,"€ 143,50",http://content.hwigroup.net/images/products/micro_thumbs/210554.jpg,"SSD, 256 GB, 0 rpm, Serial ATA 600, Marvell 88SS9189, 550 MB/s, 500 MB/s, M.2 2280"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/120455.jpg', 'path': 'full/0baf6ee8cbcc1a4a3206e7af3ccf36244d132254.jpg', 'checksum': 'a6a80bcb5fed5b4cb1153daca117acf5'}]",Crucial m4 64GB,/productinfo/120455/crucial-m4-64gb,Hardware.info,"€ 81,00",http://content.hwigroup.net/images/products/micro_thumbs/120455.jpg,"SSD, 64 GB, 0 rpm, Serial ATA 600, Marvell 88SS9174, 415 MB/s, 95 MB/s, 2.5 inch"
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000068.png', 'path': 'full/5da4e39868649509e60e191712b624515a712090.jpg', 'checksum': 'a40fedb93e003940d9641b3ccc3426f3'}]",Hitachi Travelstar 7K320 320GB SATA,/productinfo/29570/hitachi-travelstar-7k320-320gb-sata,Hardware.info,,http://content.hwigroup.net/images/brands/micro_thumbs/000068.png,"Harddisk, 320 GB, 7200 rpm, Serial ATA 150, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000103.png', 'path': 'full/aa75721629a7fb9c8d46059e898c6cc7c05357b0.jpg', 'checksum': '849b3059befee1b55d1bbf595815aa87'}]",Western Digital Caviar Black 3TB,/productinfo/179136/western-digital-caviar-black-3tb,Hardware.info,"€ 165,83",http://content.hwigroup.net/images/brands/micro_thumbs/000103.png,"Harddisk, 3000 GB, 7200 rpm, Serial Attached SCSI, 3.5 inch"
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000103.png', 'path': 'full/aa75721629a7fb9c8d46059e898c6cc7c05357b0.jpg', 'checksum': '849b3059befee1b55d1bbf595815aa87'}]",Western Digital Caviar Green 2TB,/productinfo/188747/western-digital-caviar-green-2tb,Hardware.info,"€ 133,18",http://content.hwigroup.net/images/brands/micro_thumbs/000103.png,"Harddisk, 2000 GB, 5400 rpm, Serial ATA 300, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000103.png', 'path': 'full/aa75721629a7fb9c8d46059e898c6cc7c05357b0.jpg', 'checksum': '849b3059befee1b55d1bbf595815aa87'}]",Western Digital Green 5TB,/productinfo/230024/western-digital-green-5tb,Hardware.info,"€ 203,49",http://content.hwigroup.net/images/brands/micro_thumbs/000103.png,"Harddisk, 5000 GB, 5400 rpm, Serial ATA 600, 3.5 inch"
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000178.png', 'path': 'full/2b868fa6b21256828463350797d3a9f556351a95.jpg', 'checksum': '87ec190ad386d82cdf3a804e76cefefd'}]",Geil Zenith S3L 120GB,/productinfo/208363/geil-zenith-s3l-120gb,Hardware.info,"€ 76,17",http://content.hwigroup.net/images/brands/micro_thumbs/000178.png,"SSD, 120 GB, 0 rpm, Serial ATA 600, SandForce SF-2281, 550 MB/s, 500 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/111094.jpg', 'path': 'full/7f4d86b1ffbc989eb0840f2ffe7f941a1f3e62cb.jpg', 'checksum': 'dae2694f532452703e153d88f0d979b7'}]",Hitachi Deskstar 7K3000 3TB,/productinfo/111094/hitachi-deskstar-7k3000-3tb,Hardware.info,"€ 308,66",http://content.hwigroup.net/images/products/micro_thumbs/111094.jpg,"Harddisk, 3000 GB, 7200 rpm, Serial ATA 600, 3.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/152001.jpg', 'path': 'full/a7bec16ca7e4f04d5d66e14995066658f659debc.jpg', 'checksum': '12b71587966bf164f292bb65661811be'}]",Intel 313 Series 24GB (mSATA),/productinfo/152001/intel-313-series-24gb-msata,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/152001.jpg,"SSD, 24 GB, 0 rpm, 160 MB/s, 115 MB/s, mSATA"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/119209.jpg', 'path': 'full/f2c49eac681708c640a6988b424bc6208a57a028.jpg', 'checksum': '10ccf6162af1b6890fdbe4605e813bdd'}]",Intel 320 Series 600GB,/productinfo/119209/intel-320-series-600gb,Hardware.info,"€ 940,96",http://content.hwigroup.net/images/products/micro_thumbs/119209.jpg,"SSD, 600 GB, 0 rpm, Serial ATA 300, 270 MB/s, 220 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/139840.jpg', 'path': 'full/1da1a1e315866ae1499af69cfcd7f8bda92cb2b7.jpg', 'checksum': '204b74001411151896ba94bc298b9f42'}]",Intel 520 Series 120GB (boxed),/productinfo/139840/intel-520-series-120gb-boxed,Hardware.info,"€ 161,16",http://content.hwigroup.net/images/products/micro_thumbs/139840.jpg,"SSD, 120 GB, Serial ATA 600, SandForce SF-2281, 550 MB/s, 500 MB/s, 2.5 inch"
