images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/133515.jpg', 'path': 'full/4f41770f39d3c91d7bfea5bc9c61507f15f45a3f.jpg', 'checksum': '405b43905ed22f0b1a1af08898fcb30a'}]",ASRock X79 Extreme9,/productinfo/133515/asrock-x79-extreme9,Hardware.info,"€ 314,97",http://content.hwigroup.net/images/products/micro_thumbs/133515.jpg,"ATX, Socket 2011, DDR3, Intel X79"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186838.jpg', 'path': 'full/7d11bc998ffb8416a33fd8f3b39ab9e6d68ff65b.jpg', 'checksum': 'a419133b694b7a29c2d71b54023da58c'}]",ASUS H87I-Plus,/productinfo/186838/asus-h87i-plus,Hardware.info,"€ 129,14",http://content.hwigroup.net/images/products/micro_thumbs/186838.jpg,"Mini ITX, Socket 1150, DDR3, Intel H87"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/160204.jpg', 'path': 'full/5acb5c86e458196e5d0f7b601c735627611584ff.jpg', 'checksum': '1800791301e23a04dc23bf8ff4b42fe7'}]",ASUS M5A97 R2.0,/productinfo/160204/asus-m5a97-r20,Hardware.info,"€ 82,80",http://content.hwigroup.net/images/products/micro_thumbs/160204.jpg,"ATX, Socket AM3+, DDR3, AMD 970"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/195152.jpg', 'path': 'full/0143fe997288f0941ab09f14ccf323aed25ac270.jpg', 'checksum': '7b6c813f33d3c759f9c8e8df7cce2bc8'}]",ASUS Maximus VI Formula (C2),/productinfo/195152/asus-maximus-vi-formula-c2,Hardware.info,"€ 276,62",http://content.hwigroup.net/images/products/micro_thumbs/195152.jpg,"ATX, Socket 1150, DDR3, Intel Z87"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/149543.jpg', 'path': 'full/cd551022ca2a544feda75d2f6d3fffc97d02e79f.jpg', 'checksum': '8f287c33980d48ff764f985e7de4a0fe'}]",ASUS P8Z77-V LX,/productinfo/149543/asus-p8z77-v-lx,Hardware.info,"€ 86,51",http://content.hwigroup.net/images/products/micro_thumbs/149543.jpg,"ATX, Socket 1155, DDR3, Intel Z77"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/200162.jpg', 'path': 'full/9a93c3bd042208a4706e53368d855962acd073e1.jpg', 'checksum': 'ada6b72968b6591908a5e4d5d5588565'}]",Gigabyte 970A-UD3P,/productinfo/200162/gigabyte-970a-ud3p,Hardware.info,"€ 84,40",http://content.hwigroup.net/images/products/micro_thumbs/200162.jpg,"ATX, Socket AM3+, DDR3, AMD 970"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186526.jpg', 'path': 'full/de899c02d4c01623a572b0f16ace9dee76f883de.jpg', 'checksum': 'd2c04b1f6bfe7810e8e7a01ab132cfcd'}]",Gigabyte Z87-D3HP,/productinfo/186526/gigabyte-z87-d3hp,Hardware.info,"€ 121,49",http://content.hwigroup.net/images/products/micro_thumbs/186526.jpg,"ATX, Socket 1150, DDR3, Intel Z87"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/218755.jpg', 'path': 'full/26f9e80d3e1fb3f773a1d186eceeb3b54adfdd03.jpg', 'checksum': 'f50426e74538b94e883bff580cc6b2cd'}]",Gigabyte Z97MX Gaming 5,/productinfo/218755/gigabyte-z97mx-gaming-5,Hardware.info,"€ 145,06",http://content.hwigroup.net/images/products/micro_thumbs/218755.jpg,"Micro ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/218856.jpg', 'path': 'full/5d9c1056977af47384ab8934b933859f82213a00.jpg', 'checksum': '5e8c3fe776aad47c184ec9896350b66a'}]",Gigabyte Z97X Gaming GT,/productinfo/218856/gigabyte-z97x-gaming-gt,Hardware.info,"€ 237,95",http://content.hwigroup.net/images/products/micro_thumbs/218856.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/157485.jpg', 'path': 'full/bed4760397e55ca590733c192f5cc6941df13013.jpg', 'checksum': 'ac24c35efc3ac1252c4d94e64d34e6d2'}]",MSI B75MA-E33,/productinfo/157485/msi-b75ma-e33,Hardware.info,"€ 47,60",http://content.hwigroup.net/images/products/micro_thumbs/157485.jpg,"Micro ATX, Socket 1155, DDR3, Intel B75"
