price,name,desc
"€ 196,68",Archos 50 Helium 4G,"Android, Qualcomm Snapdragon 400 (8926), 5 inch, 1280x720, 8 MPixel, 160 gram"
"€ 201,45",Huawei Ascend G6 4G Black,"Android, Qualcomm Snapdragon 400 (8226), 4.5 inch, 960x540, 8 MPixel, 120 gram"
"€ 605,24",Apple iPhone 5s 16GB Black,"iOS, Apple A7, 4 inch, 1136x640, 8 MPixel, 112 gram"
"€ 132,24",Nokia Lumia 630 Black,"Windows Phone, Qualcomm Snapdragon 400 (8626), 4.5 inch, 854x480, 5 MPixel, 134 gram"
"€ 436,49",HTC One Black,"Android, Qualcomm Snapdragon 600 (8064T), 4.7 inch, 1920x1080, 4.1 MPixel, 145 gram"
"€ 340,15",Sony Xperia Z Ultra Black,"Android, Qualcomm Snapdragon 800 (8974), 6.4 inch, 1920x1080, 8 MPixel, 220 gram"
,,
"€ 521,33",Motorola Moto X (2014) Black,"Android, 5.2 inch, 1920x1080, 13 MPixel, 144 gram"
,Samsung Galaxy S Plus i9001 Black,"Android, Qualcomm Snapdragon S2 (MSM8255T), 4 inch, 800x480, 5 MPixel, 117.5 gram"
"€ 497,09",Sony Xperia Z3 Compact White,"Android, Qualcomm Snapdragon 801 (8974AC), 4.6 inch, 1280x720, 20.7 MPixel, 129 gram"
"€ 750,43",Apple iPhone 6 16GB Silver,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
"€ 536,61",HTC Desire Eye Blue,"Android, 5.2 inch, 1920x1080, 13 MPixel, 154 gram"
"€ 1.053,64",Apple iPhone 6 Plus 128GB Grey,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 190,24",Samsung Galaxy Ace 3 Black,"Android, Qualcomm Snapdragon 400 (8930), 4 inch, 800x480, 5 MPixel, 120 gram"
"€ 330,95",HTC Desire 816 Blue,"Android, Qualcomm Snapdragon 400 (8928), 5.5 inch, 1280x720, 13 MPixel, 165 gram"
,Huawei Ascend Mate Black,"Android, Huawei K3V2 Hi3620, 6.1 inch, 1280x720, 8 MPixel, 200 gram"
"€ 493,91",LG G3 16GB Gold,"Android, Qualcomm Snapdragon 801 (8974AC), 5.5 inch, 2560x1440, 13 MPixel, 149 gram"
"€ 249,08",Nokia Lumia 730 White,"Windows Phone, 4.7 inch, 1280x720, 6.7 MPixel, 130.4 gram"
"€ 175,82",Samsung Galaxy Core White,"Android, 4.3 inch, 800x480, 5 MPixel, 124 gram"
"€ 101,36",Samsung Galaxy Trend Lite La Fleur,"Android, 4 inch, 800x480, 3 MPixel, 126 gram"
"€ 98,74",Nokia Lumia 530 Grey,"Windows Phone, Qualcomm Snapdragon 200 (8212), 4 inch, 854x480, 5 MPixel, 129 gram"
"€ 743,48",Apple iPhone 6 16GB Grey,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
"€ 419,09",LG G2 32GB Black,"Android, Qualcomm Snapdragon 800 (8974), 5.2 inch, 1920x1080, 13 MPixel, 143 gram"
"€ 497,27",LG G3 16GB Black,"Android, Qualcomm Snapdragon 801 (8974AC), 5.5 inch, 2560x1440, 13 MPixel, 151 gram"
,LG Nexus 4 16GB Black,"Android, Qualcomm Snapdragon S4 Pro (APQ8064), 4.7 inch, 1280x768, 8 MPixel, 139 gram"
"€ 20,56",Samsung E1200i Black,"1.52 inch, 66 gram"
"€ 470,63",Samsung Galaxy S4 Active Grey,"Android, Qualcomm Snapdragon 600 (8064T), 5 inch, 1920x1080, 8 MPixel, 155 gram"
"€ 554,22",Samsung Galaxy S5 Gold,"Android, Qualcomm Snapdragon 801 (8974AC), 5.1 inch, 1920x1080, 16 MPixel, 145 gram"
"€ 497,00",Sony Xperia Z3 Compact Orange,"Android, Qualcomm Snapdragon 801 (8974AC), 4.6 inch, 1280x720, 20.7 MPixel, 129 gram"
